exchange,instrument_token,tradingsymbol
NSE,4343041,TATAMTRDVR
NSE,4360961,THYROCARE-BL
NSE,3182337,HDFCBANK-BL
NSE,3233025,NLCINDIA-BL
NSE,624385,NKIND
NSE,1885697,TRIGYN-BE
NSE,4297217,GET&D-BL
NSE,3930881,RECLTD
NSE,4952321,RHFL-N7
NSE,4952833,RHFL-N8
NSE,1975553,UNIFLEX-BE
NSE,3927041,RAIN-BL
NSE,421633,TCFSL-N9
NSE,3257345,RUCHISOYA-BL
NSE,3278849,SMLISUZU-BL
NSE,1688577,SONATSOFTW
NSE,1339649,SPIC-BE
NSE,5056769,SREINFRA-Y7
NSE,5144321,TASTYBITE-BL
NSE,2956545,TEXINFRA
NSE,4915201,TI-BE
NSE,2334977,TIPSINDLTD-BE
NSE,1660417,TORNTPHARM-BE
NSE,1963265,TRANSPEK-BE
NSE,3529217,TORNTPOWER
NSE,2171905,TVSMOTOR-BE
NSE,3348737,TRIVENI
NSE,1058561,TULIP-BZ
NSE,3884545,TRIL
NSE,2890241,UPL-BE
NSE,3291393,UPL-BL
NSE,2692353,UTISENSETF-BL
NSE,3928833,GSS
NSE,3930113,RECLTD-BE
NSE,3294977,VALUEIND-BL
NSE,3338497,VINDHYATEL-BL
NSE,3398401,INDOTECH
NSE,6556673,INDOTHAI-BE
NSE,3827713,INDOWIND
NSE,2970113,INDSWFTLTD
NSE,3681281,INDUSFILA-BL
NSE,2913793,TTKHLTCARE-BE
NSE,5138177,INTENTECH
NSE,3920897,IRB-BL
NSE,356097,IREDA-N5
NSE,8041473,MTEDUCARE-BL
NSE,2268417,JAYNECOIND-BE
NSE,3006465,JINDALPHOT-BE
NSE,3203585,JINDALPOLY-BL
NSE,3398145,JKCEMENT-BE
NSE,3454721,JKLAKSHMI-BL
NSE,3205121,JKPAPER-BL
NSE,3206913,JYOTISTRUC-BL
NSE,2029057,KAJARIACER-BE
NSE,1267457,KOPRAN-BE
NSE,3211777,KOTAKBANK-BL
NSE,3818241,KPRMILL-BL
NSE,3817473,KPRMILL
NSE,3212801,KRBL-BL
NSE,1000449,PREMIERPOL
NSE,4835585,KSL
NSE,5772545,L&TINFRA-N6
NSE,502017,LAKHNNATNL
NSE,4848641,RAINBOWPAP-BL
NSE,1015041,REMSONSIND
NSE,4891649,ROLLT-BE
NSE,3713025,BALAMINES-BL
NSE,5738241,LOVABLE
NSE,4317953,LPDC-BE
NSE,3216129,LUMAXAUTO-BL
NSE,2267649,SANGHIIND-BE
NSE,342529,SDBL
NSE,2145537,SEAMECLTD-BE
NSE,669697,SEAMECLTD
NSE,3035905,SHAHALLOYS-BE
NSE,3927553,SHALPAINTS
NSE,2324993,SHAMKNFAB-BE
NSE,5202177,SHANKARA
NSE,2397441,SHANTIGEAR-BE
NSE,1842433,SHAWGELTIN-BE
NSE,3056129,SPLIL-BE
NSE,3055361,SPLIL
NSE,3352577,EMCO
NSE,4645377,EMMBI-BE
NSE,1898497,MANAKCOAT-BL
NSE,4989441,SREIBNPNCD-NA
NSE,4830721,MAZDA-BE
NSE,3915777,TANTIACONS-BL
NSE,3749889,MIC-BE
NSE,5333249,MOIL-BL
NSE,1327105,TATAMOTORS-BE
NSE,3281665,TATASPONGE-BL
NSE,2462465,TELEPHNCAB-BE
NSE,3217665,MPSLTD-BL
NSE,1254913,TIMEXWATCH-BE
NSE,4916481,TMRVL
NSE,1441025,GREAVESCOT-BE
NSE,1907969,TRANSCHEM-BE
NSE,1089537,TRANSCHEM
NSE,1983489,TTKPRESTIG-BE
NSE,1235969,GRASIM-BE
NSE,4679169,UNITEDBNK
NSE,1711873,VINDHYATEL-BE
NSE,6219521,VSTTILLERS-BL
NSE,4001793,WEALTH-SM
NSE,975873,ZEEL
NSE,3700225,IBREALEST-BL
NSE,2793985,IDFCBANK-NC
NSE,5339137,ZEELEARN-BE
NSE,424961,ITC
NSE,3232769,NECLIFE-BL
NSE,7780353,NIF100IWIN
NSE,5030913,KALYANI-BL
NSE,4823809,NIRAJISPAT-BL
NSE,2176769,SANDESH-BE
NSE,2885377,DREDGECORP
NSE,6526977,ONELIFECAP-BE
NSE,3414017,SOLARINDS-BE
NSE,1267969,SPHEREGSL
NSE,4995073,SREIBNPNCD-NL
NSE,3273473,SPMLINFRA-BL
NSE,5400321,SPYL
NSE,1382401,AKZOINDIA-BE
NSE,25601,AMARAJABAT
NSE,34817,ANDHRSUGAR
NSE,3449601,GTNTEX-BL
NSE,3572225,PARACABLES-BL
NSE,5592833,AARVI-SM
NSE,3417601,ADHUNIK-BE
NSE,3330049,RAMGOPOLY-BL
NSE,725505,RAMGOPOLY
NSE,2740993,HDFC-W2
NSE,5480705,AVADHSUGAR-BL
NSE,80385,BAJAJTEMPO
NSE,3887873,BRIGADE-BL
NSE,7453697,CARERATING-BL
NSE,3369473,CELEBRITY
NSE,2800641,DIVISLAB
NSE,3895553,DPL-BL
NSE,5164801,ARIHANTSUP-BE
NSE,1436161,ASTRAZEN
NSE,1936897,IVRCLINFRA-BE
NSE,5113857,PFC-N3
NSE,2421505,GABRIEL-BE
NSE,1355009,GAIL-BE
NSE,1676289,GRPLTD-BL
NSE,7642369,GSCLCEMENT-BE
NSE,3449345,GTNTEX-BE
NSE,5111297,HUDCO-NC
NSE,389377,INDIAGLYCO
NSE,2764545,IDFCBANK-N4
NSE,4752385,LTTS
NSE,2951937,LUMAXAUTO-BE
NSE,2951169,LUMAXAUTO
NSE,3442945,KELLTONTEC-BL
NSE,2005249,LUMAXIND-BE
NSE,3216385,LUMAXIND-BL
NSE,3588097,LUMAXTECH-BL
NSE,3587585,LUMAXTECH
NSE,4312321,LGBFORGE
NSE,4568577,LTI-BE
NSE,4561409,LTI
NSE,4753409,LTTS-BE
NSE,4421889,SETFGOLD-BL
NSE,1860609,KALYANISTL-BE
NSE,3754753,KMSUGAR
NSE,5484545,M100-BL
NSE,4937985,M50
NSE,2190593,METROCHEM-BE
NSE,3658753,MURLIIND-BE
NSE,6518273,NCOPPER
NSE,2130177,SALORAINTL-BE
NSE,5128193,NABARD-N1
NSE,7820801,NTL
NSE,640513,OCL
NSE,2353665,RAMCOIND-BE
NSE,751361,RECLTD-ND
